Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
6,0,38,2,7195,114,283,36,3,1,1,30,1433.6,0
1,1,20,1,2165,38,20,19,2,1,1,25,187.98,1
0,1,16,4,2455,35,16,18,2,2,1,25,173.925,1
16,0,40,2,1873,46,15,22,3,1,1,30,130.2,0
5,0,7,1,5775,15,262,4,3,1,1,30,1232.6,0
18,0,41,2,3078,75,45,44,3,1,1,30,308.76,0
0,0,26,0,305,7,13,4,3,1,2,30,59.8,1
4,0,36,0,2958,62,0,12,2,1,1,25,130.425,0
13,0,40,3,4540,85,8,25,4,1,1,45,158.175,0
12,0,44,3,6328,101,19,28,2,1,1,25,377.82,0
21,1,38,6,9400,127,152,55,3,2,1,30,1008.48,0
19,0,29,4,2000,53,48,20,3,1,1,30,274.4,0
30,0,38,3,16640,244,7,80,2,1,1,25,800.35,0
0,0,32,0,3670,69,0,18,3,1,1,30,155.56,0
14,0,38,2,2920,61,277,29,3,1,1,30,1249.48,0
4,0,27,1,1405,35,183,7,3,2,1,30,804.8,0
5,0,40,0,1133,24,14,5,4,1,2,45,63.675,1
14,0,35,2,6785,95,9,27,5,1,1,55,143.16,0
1,0,34,0,1663,45,1,27,1,1,1,15,128.655,0
9,0,39,1,3585,102,274,27,3,1,1,30,1317.32,0
8,0,25,1,1530,37,19,8,3,1,1,30,142.88,0
17,0,28,1,1435,39,28,14,2,1,1,25,201.445,0
6,0,35,1,4928,73,16,40,1,1,1,15,333.355,0
9,1,36,0,2570,37,10,11,2,1,2,25,151.2,0
0,0,29,0,2415,12,0,9,3,1,1,30,99.12,0
7,0,41,1,1410,31,17,15,2,1,1,25,139.08,0
13,0,40,0,2520,56,274,29,2,1,1,25,1365.14,0
0,0,36,0,613,4,0,4,4,1,1,45,15.575,0
10,0,43,2,3788,96,37,38,1,1,1,15,401.545,0
9,0,41,2,1188,23,66,20,4,1,1,45,227.025,0
16,0,45,3,2613,70,17,45,3,1,1,30,175.68,0
4,0,11,2,4540,47,228,13,3,1,1,30,1095.96,0
1,0,23,0,615,18,15,8,2,1,1,25,94.16,0
0,0,24,0,0,0,0,0,5,1,1,55,0.0,0
5,0,31,2,3445,72,7,20,3,1,1,30,171.96,0
2,1,37,0,1450,34,26,18,3,1,2,30,159.0,1
14,0,37,0,2655,56,162,25,2,1,1,25,1012.945,0
1,0,35,0,1668,36,10,74,4,1,1,45,72.025,0
0,0,29,0,570,12,0,4,3,1,2,30,22.28,1
5,0,36,0,2145,43,275,20,3,1,1,30,1186.96,0
33,0,37,2,16100,240,65,33,3,1,1,30,944.84,0
