Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
16,0,37,2,4598,79,13,41,4,1,1,45,170.5,0
20,0,33,2,14690,221,8,29,2,1,1,25,738.84,0
11,0,43,5,4780,86,19,27,5,1,1,55,116.14,0
3,0,30,1,1293,28,9,9,3,1,1,30,94.32,0
1,0,39,1,2563,60,0,38,4,1,1,45,95.225,0
9,0,38,1,2490,45,15,8,3,1,1,30,152.48,0
0,0,29,0,0,0,0,0,2,1,2,25,0.0,0
8,0,38,0,2658,61,14,20,3,1,2,30,167.24,0
0,0,39,0,6485,103,312,29,3,1,1,30,1541.28,0
0,0,34,0,0,0,0,0,2,1,2,25,0.0,1
13,0,45,2,6897,113,41,37,4,1,1,45,313.92,0
9,0,38,1,3295,63,43,32,3,1,1,30,292.36,0
33,0,31,6,16690,249,62,43,3,2,1,30,862.04,0
9,0,39,0,15158,174,149,26,2,1,1,25,1394.89,0
3,0,34,1,13563,166,0,45,3,1,1,30,552.32,0
13,0,38,2,2873,61,17,16,3,1,1,30,200.08,0
6,0,35,1,2680,43,7,9,3,1,1,30,137.92,0
5,0,34,0,1015,14,34,7,3,1,2,30,167.36,0
8,0,21,0,2220,38,33,22,3,1,1,30,204.16,0
9,0,18,0,7223,149,58,37,3,1,1,30,599.84,0
2,0,36,0,3845,80,7,21,3,1,1,30,178.44,0
3,0,39,0,583,9,7,3,3,1,2,30,47.44,0
5,1,35,0,3140,25,8,9,3,1,2,30,155.08,1
8,0,36,1,5915,93,19,23,3,1,1,30,312.84,0
7,0,38,1,3300,32,7,16,3,1,1,30,157.6,0
0,0,33,0,0,0,0,0,3,1,2,30,0.0,1
2,0,37,0,2470,51,3,74,4,1,1,45,88.625,0
7,0,43,0,5593,82,19,26,3,1,1,30,310.84,0
0,0,32,0,2050,45,198,18,3,1,1,30,945.0,0
0,0,34,0,2845,17,113,8,3,1,1,30,614.68,0
3,0,41,0,1433,22,13,17,3,1,2,30,108.8,0
0,0,36,0,2130,36,0,19,3,1,2,30,88.72,0
5,0,27,1,3485,69,12,24,3,1,1,30,177.92,0
10,0,10,2,6283,148,31,34,3,1,1,30,397.16,0
28,0,37,5,16080,234,52,31,3,2,1,30,844.56,0
0,1,18,3,2450,46,7,9,3,1,1,30,128.4,1
13,0,27,0,710,28,33,8,4,1,2,45,101.25,1
16,1,38,0,2853,57,29,35,3,1,2,30,245.64,1
1,0,38,0,11970,158,1,40,3,1,1,30,476.52,0
21,0,40,3,9380,125,151,46,3,1,1,30,996.44,0
6,0,37,1,5713,93,20,21,3,1,1,30,319.96,0
3,0,33,1,293,7,11,4,3,1,1,30,52.88,1
9,0,42,3,7370,119,265,36,3,1,1,30,1474.44,0
6,1,25,0,3225,67,29,31,3,1,1,30,241.76,1
0,0,36,0,1700,33,145,20,2,1,1,25,725.515,0
0,0,35,0,0,0,0,0,2,1,2,25,0.0,0
12,0,39,2,6373,108,23,28,5,1,1,55,125.14,0
6,0,27,0,1510,32,24,14,2,1,1,25,167.98,0
15,0,35,2,7180,114,274,38,2,2,1,25,1595.46,0
3,0,37,0,4833,70,2,40,1,1,1,15,279.07,0
23,0,32,4,16130,241,2,83,2,1,1,25,752.37,0
9,0,39,0,11998,159,7,42,3,1,1,30,526.36,0
15,0,39,2,6845,76,143,41,2,1,1,25,904.095,0
16,0,44,2,4335,75,13,17,3,1,1,30,225.88,0
5,0,34,0,565,14,14,6,5,1,2,55,28.63,0
1,0,11,1,7613,161,343,40,3,1,1,30,1817.84,0
10,0,38,0,2263,50,297,32,2,1,1,25,1543.655,0
0,0,27,0,1313,20,24,8,4,1,1,45,94.575,0
0,0,34,0,5993,85,0,14,3,1,1,30,251.44,0
5,0,33,0,13225,159,0,35,3,1,1,30,531.56,0
10,0,41,0,2933,65,10,33,1,1,1,15,220.86,0
22,0,39,4,15040,220,36,33,3,1,1,30,805.52,0
0,0,34,0,126,3,0,2,2,1,2,25,5.33,1
8,0,29,2,2385,35,173,15,3,1,1,30,803.16,0
4,0,40,2,730,14,7,8,5,1,1,55,26.99,0
