Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,0,19,0,3245,67,0,28,3,1,1,30,132.68,0
10,0,13,1,9000,165,68,44,4,1,1,45,321.5,0
5,0,29,0,1325,30,21,24,2,1,1,25,154.2,0
19,0,38,1,1635,50,49,24,5,1,1,55,90.55,0
9,0,37,1,6733,97,11,20,2,1,1,25,384.74,0
0,0,38,0,80,2,26,4,3,1,2,30,110.08,0
0,0,24,0,2985,55,0,22,3,1,1,30,117.0,0
1,0,34,1,6565,80,159,29,3,1,1,30,902.6,0
0,0,36,0,1388,22,0,13,2,1,2,25,63.65,0
24,0,37,9,10690,99,0,43,4,1,1,45,263.45,0
0,0,30,0,2755,16,0,12,2,1,1,25,125.215,0
1,0,33,0,118,2,17,9,2,1,2,25,90.1,1
15,0,27,2,9970,126,142,43,3,1,1,30,978.52,0
11,0,12,1,6168,133,77,40,1,2,1,15,750.15,0
1,0,38,0,1095,20,23,11,4,1,2,45,80.95,0
11,0,10,0,7147,148,63,32,4,1,1,45,343.575,0
8,0,38,0,3613,64,11,36,1,1,1,15,254.005,0
5,0,38,1,4670,92,48,27,3,1,1,30,370.88,0
0,0,33,0,0,0,0,0,5,1,1,55,0.0,0
4,0,38,1,8013,118,15,42,3,1,1,30,394.44,0
0,0,12,0,1733,22,0,12,3,1,1,30,70.24,0
12,0,28,2,4170,79,36,38,2,1,1,25,371.81,0
7,0,43,0,4623,72,0,23,2,1,1,25,214.635,0
9,0,38,2,7255,110,32,27,3,1,1,30,421.4,0
29,0,36,6,16000,238,62,35,3,2,1,30,936.76,0
16,0,41,2,4860,95,49,30,4,1,1,45,217.925,0
2,0,9,0,5990,31,169,6,3,1,1,30,838.04,0
0,0,34,0,2195,34,193,21,3,1,1,30,904.76,0
22,0,36,2,15640,190,172,36,2,1,1,25,1525.12,0
8,0,43,2,6200,79,175,33,3,1,1,30,946.88,0
5,0,35,0,2808,66,1,20,2,1,1,25,130.23,0
3,0,26,0,1180,26,7,2,2,1,1,25,82.825,0
2,0,33,0,2633,55,0,34,1,1,1,15,153.165,0
4,0,39,1,3675,79,7,24,3,1,1,30,182.68,0
3,0,35,0,6513,69,101,38,2,1,1,25,756.62,0
0,1,35,0,2490,16,7,8,3,1,2,30,126.56,1
10,0,22,2,1608,41,26,18,3,1,1,30,161.04,0
11,0,43,1,2798,70,7,30,1,1,1,15,204.985,0
3,0,38,0,2390,52,300,22,2,1,1,25,1546.88,0
9,0,33,0,2213,51,33,27,2,1,1,25,255.09,0
4,0,38,1,2850,31,191,10,3,1,1,30,909.24,0
5,0,33,0,1853,27,0,2,3,1,1,30,74.2,0
0,1,3,0,0,0,0,0,3,1,2,30,0.0,1
0,0,21,2,2765,45,185,22,3,1,1,30,895.4,0
0,0,33,1,4593,77,0,31,2,1,1,25,204.325,0
3,0,36,1,8005,111,179,32,2,1,1,25,1516.995,0
3,0,36,0,3385,66,13,23,2,1,1,25,217.94,0
9,0,35,2,9285,125,149,43,3,1,1,30,977.8,0
13,0,44,1,4360,81,12,20,3,1,1,30,221.44,0
16,0,29,1,6085,80,11,27,5,1,1,55,107.82,0
0,0,33,0,825,1,18,1,4,1,2,45,62.025,0
7,0,35,2,6418,99,19,25,3,1,1,30,346.84,0
15,0,40,1,2693,61,39,27,2,1,1,25,303.685,0
6,0,34,0,2670,31,458,14,3,1,1,30,2038.84,0
0,0,33,0,0,0,0,0,2,1,2,25,0.0,1
0,0,11,0,1465,18,0,4,2,1,1,25,71.65,0
18,0,34,3,13080,168,34,55,4,1,1,45,400.4,0
7,0,39,0,4045,74,0,20,3,1,1,30,163.04,0
5,0,33,0,955,14,16,11,2,1,2,25,114.585,0
4,0,33,0,2345,32,264,27,2,1,1,25,1518.605,0
5,0,36,0,7948,126,388,42,2,1,1,25,2085.14,0
0,0,31,0,1360,17,0,1,2,1,2,25,60.31,0
0,0,32,0,1915,27,41,19,2,1,1,25,272.245,0
6,0,37,0,2908,60,24,27,2,1,1,25,270.84,0
18,0,20,0,965,30,16,8,2,1,2,25,111.615,0
0,0,28,0,4230,66,0,24,3,1,1,30,169.24,0
11,0,39,1,2748,59,372,26,3,1,1,30,1575.16,0
6,0,38,1,475,9,20,4,5,1,1,55,45.25,0
6,0,24,2,1890,44,38,20,3,1,1,30,238.04,0
11,0,18,0,7488,152,84,38,2,1,1,25,802.135,0
11,0,43,1,4353,81,6,24,3,1,1,30,199.76,0
15,0,46,0,963,37,8,8,3,1,2,30,78.72,0
13,0,43,1,2543,60,14,34,3,1,1,30,166.92,0
10,0,16,0,800,21,26,12,2,1,1,25,158.56,0
0,0,30,0,305,5,0,5,2,1,2,25,14.395,0
18,0,41,3,6378,85,136,38,2,1,1,25,899.005,0
0,0,16,0,1075,15,0,12,2,1,1,25,50.505,0
5,0,38,0,7113,116,35,35,2,1,1,25,494.84,0
5,0,36,0,3695,74,0,17,3,1,1,30,157.88,0
8,1,38,0,2183,41,36,35,3,1,2,30,239.36,1
6,0,13,1,7278,151,30,42,4,1,1,45,271.575,0
28,1,35,0,1470,59,32,20,3,1,2,30,195.28,1
16,0,39,3,4478,78,10,40,2,1,1,25,264.36,0
0,0,35,0,0,0,0,0,2,1,2,25,0.0,0
0,0,39,1,4280,76,15,27,3,1,1,30,221.36,0
17,0,35,2,15215,185,154,40,2,1,1,25,1390.015,0
0,0,29,0,855,14,3,10,4,1,1,45,31.075,0
0,0,34,0,4295,65,0,13,3,1,1,30,168.12,0
8,0,43,1,2573,66,23,28,4,1,1,45,121.75,0
8,0,38,0,1533,24,42,11,3,1,2,30,231.08,0
10,0,34,0,2593,49,11,18,3,1,2,30,171.16,0
5,0,38,1,388,8,1,6,3,1,1,30,19.56,0
1,0,7,0,455,8,16,8,2,1,1,25,84.825,0
9,0,41,1,2713,64,9,27,4,1,1,45,99.25,0
0,0,34,0,203,6,17,5,3,1,2,30,75.56,0
7,0,39,0,2970,64,7,24,3,1,2,30,144.56,1
0,0,36,0,6975,103,178,27,2,1,1,25,1094.665,0
0,0,33,0,1560,46,47,19,3,1,2,30,251.04,0
0,0,34,0,1318,26,0,26,3,1,1,30,54.96,0
20,1,26,0,1005,34,22,12,2,1,2,25,144.795,1
10,0,36,2,6845,97,24,25,3,1,1,30,393.32,0
0,0,39,0,1233,21,9,16,3,1,2,30,91.04,0
0,0,31,0,1618,42,0,12,3,1,1,30,64.72,0
8,0,13,2,5128,126,66,35,1,2,1,15,705.81,0
8,0,34,0,2918,70,13,20,3,1,1,30,161.76,0
6,0,36,0,3178,80,7,23,2,1,1,25,165.2,0
12,0,42,3,8605,134,49,47,3,1,1,30,618.04,0
10,0,38,1,6943,79,113,34,2,1,1,25,844.355,0
13,0,39,2,5033,97,21,26,3,1,1,30,305.68,0
0,0,33,0,0,0,0,0,3,1,2,30,0.0,0
10,0,33,0,4303,60,0,26,1,1,1,15,240.785,0
3,0,36,0,7193,115,369,34,2,1,1,25,1975.025,0
2,0,38,0,1055,12,0,6,3,1,2,30,43.12,1
17,0,35,0,5478,97,18,30,2,1,1,25,317.665,0
8,0,15,2,2572,39,16,18,2,1,1,25,176.535,0
0,0,36,1,3825,60,0,24,3,1,1,30,155.8,0
0,1,36,0,475,8,29,6,3,1,2,30,128.88,1
11,0,39,3,6980,112,283,33,2,2,1,25,1567.66,0
0,0,36,0,6553,72,110,33,2,1,1,25,791.13,0
7,0,38,1,7793,131,398,47,3,1,1,30,1889.24,0
0,0,37,0,2285,25,0,24,2,1,2,25,105.35,0
8,0,21,2,4540,63,20,22,3,1,1,30,241.32,0
4,0,37,0,6358,107,26,28,2,1,1,25,398.52,0
14,0,15,1,8538,172,97,41,5,1,1,55,287.715,0
0,0,30,0,618,14,25,9,2,1,2,25,145.475,0
10,0,29,0,3700,71,22,21,3,1,1,30,237.76,0
0,0,39,0,1010,20,25,11,4,1,2,45,91.15,0
5,0,17,3,3120,36,54,20,3,1,1,30,296.44,0
12,0,16,3,3255,26,60,10,3,1,1,30,365.84,0
7,0,39,2,840,15,18,9,5,1,1,55,42.225,0
30,0,39,5,16465,244,65,46,3,1,1,30,966.88,0
5,0,43,0,995,15,19,10,3,1,2,30,114.55,0
1,0,33,0,2883,50,0,20,2,1,1,25,124.51,0
10,0,42,3,6585,109,27,22,3,1,1,30,394.04,0
15,0,33,1,15350,185,168,31,2,1,1,25,1485.48,0
23,0,36,3,15390,228,45,30,3,1,1,30,839.36,0
0,0,36,0,410,4,0,1,2,1,2,25,18.695,0
0,0,24,0,635,35,188,5,2,2,1,25,833.285,0
