Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
13,0,40,1,4675,77,12,19,3,1,1,30,238.08,0
5,0,41,0,623,11,14,6,3,1,2,30,81.36,0
15,0,39,1,2758,66,366,26,3,1,1,30,1576.96,0
15,0,40,1,4503,72,8,37,1,1,1,15,295.625,0
8,0,40,1,2698,64,9,35,2,1,1,25,164.79,0
16,0,40,2,4080,88,39,30,3,1,1,30,322.72,0
9,0,40,1,2665,45,292,20,3,1,1,30,1276.4,0
18,0,39,3,9420,127,151,45,3,1,1,30,985.88,0
12,0,40,1,14078,175,7,46,3,1,1,30,598.12,0
12,0,40,2,4820,89,9,27,3,1,1,30,232.36,0
11,0,40,1,6223,101,14,14,3,1,1,30,308.96,0
14,1,40,0,2543,60,15,19,3,1,2,30,164.12,0
30,0,40,4,15445,231,61,34,3,2,1,30,871.04,0
9,0,40,2,3400,33,490,10,3,1,1,30,2097.32,0
14,0,39,1,15790,188,157,32,2,1,1,25,1425.51,0
8,0,39,2,6805,92,193,28,3,1,1,30,1047.88,0
5,0,39,0,1180,20,7,13,2,1,2,25,85.5,0
7,0,40,0,1015,20,20,10,3,1,2,30,121.4,0
5,0,39,0,305,6,7,2,2,1,2,25,45.495,1
8,0,39,1,7813,133,391,45,3,1,1,30,1881.84,0
12,0,39,2,11770,160,18,49,4,1,1,45,343.25,0
13,0,39,2,7023,81,115,39,2,1,1,25,837.18,0
28,0,35,0,1260,53,23,19,3,1,2,30,144.52,1
26,0,38,9,10740,99,8,44,5,1,1,55,174.585,0
18,0,38,2,6123,104,33,26,2,1,1,25,428.715,0
6,0,36,1,3145,28,7,16,3,1,1,30,154.92,0
14,1,37,0,3295,47,16,18,3,1,2,30,197.68,1
14,1,38,0,2573,50,41,33,4,1,2,45,168.075,1
5,0,38,0,438,8,7,4,3,1,2,30,45.84,1
6,0,38,1,1973,31,7,8,4,1,1,45,67.6,0
8,0,35,2,7090,103,21,24,5,1,1,55,139.395,0
5,0,38,0,933,13,16,6,4,1,2,45,63.65,1
5,0,38,2,643,10,11,4,5,1,1,55,26.295,0
30,0,33,4,16380,244,7,82,2,2,1,25,779.58,0
11,0,36,4,7270,122,278,35,3,2,1,30,1407.68,0
7,0,38,1,4023,88,9,30,3,1,1,30,200.44,0
8,0,37,0,1970,50,45,22,3,1,2,30,260.8,0
11,0,38,1,3085,59,182,25,2,1,1,25,960.48,0
9,0,29,2,1620,42,200,13,3,2,1,30,866.48,0
9,0,28,1,1873,45,37,70,5,1,1,55,84.27,0
16,0,29,0,1005,31,17,9,3,1,2,30,109.44,0
5,0,28,0,1130,16,28,5,4,1,2,45,98.65,0
15,0,27,1,1530,38,26,15,2,1,1,25,187.56,0
7,0,27,1,3530,67,15,25,3,1,1,30,203.88,0
