Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
9,0,39,1,11400,158,11,49,4,1,1,45,300.375,0
13,0,44,4,4925,92,26,29,4,1,1,45,203.175,0
12,1,22,0,1195,19,0,4,2,1,2,25,55.615,1
12,0,38,2,3615,57,203,35,3,1,1,30,1027.4,0
5,0,39,0,2565,42,265,23,2,1,1,25,1499.725,0
2,0,35,0,3740,76,0,23,3,1,1,30,160.88,0
0,0,37,0,4003,74,0,37,1,1,1,15,226.055,0
5,0,37,1,6913,111,264,30,2,2,1,25,1514.2,0
6,0,37,1,1123,26,28,21,4,1,1,45,98.075,0
10,0,37,0,1810,46,30,22,3,1,2,30,180.0,0
19,0,31,2,15140,219,26,28,2,1,1,25,848.455,0
0,0,40,0,126,5,0,4,3,1,2,30,5.1,0
4,0,14,1,2797,43,20,16,3,1,1,30,180.04,0
0,1,34,0,2858,67,292,21,2,1,1,25,1455.645,1
7,0,17,0,8528,164,62,38,4,1,1,45,360.975,0
0,0,32,0,0,0,0,0,2,1,2,25,0.0,0
0,0,36,0,880,2,17,2,2,1,2,25,104.875,1
2,0,37,0,1768,47,48,34,3,1,2,30,263.4,0
0,0,28,0,1055,35,27,13,2,1,1,25,168.005,0
7,0,38,1,6925,94,186,22,3,1,1,30,1010.44,0
21,0,43,4,10680,104,11,45,4,1,1,45,274.45,0
5,0,38,1,2490,47,6,20,3,1,1,30,126.6,0
8,0,25,0,2380,43,12,22,2,1,1,25,155.565,0
12,1,39,0,1990,31,7,13,4,1,2,45,67.375,1
22,0,28,6,10305,89,0,39,4,1,1,45,271.3,0
0,0,32,0,0,0,0,0,2,1,2,25,0.0,0
0,0,32,0,1468,17,0,5,3,1,1,30,56.56,0
7,0,38,0,445,8,7,2,3,1,2,30,46.04,0
0,0,34,0,0,0,0,0,2,1,2,25,0.0,0
14,0,36,0,3013,58,18,34,2,1,2,25,248.475,0
20,0,37,8,10840,98,0,42,5,1,1,55,166.03,0
13,0,41,4,2153,57,46,24,3,1,1,30,280.08,0
7,0,35,0,2045,50,354,15,2,1,1,25,1726.315,0
5,0,16,3,2758,43,39,25,3,1,1,30,270.04,0
0,1,29,0,3543,67,0,18,3,1,1,30,144.6,1
1,0,28,1,6475,84,181,25,2,1,1,25,1037.065,0
1,0,36,1,4023,79,7,31,2,1,1,25,217.6,0
12,0,44,2,4183,89,7,36,1,1,1,15,280.795,0
2,0,10,1,2960,35,273,11,3,1,1,30,1238.28,0
18,0,34,2,14955,206,47,34,2,1,1,25,902.085,0
0,0,26,0,3550,66,0,25,3,1,1,30,142.12,0
0,0,29,0,1580,37,27,17,3,1,1,30,169.12,0
16,0,30,0,740,34,18,12,3,1,2,30,102.6,0
6,0,33,0,305,6,12,3,3,1,2,30,53.2,0
13,0,38,2,3820,73,31,24,3,1,1,30,288.44,0
4,0,33,1,7473,116,359,37,2,1,1,25,1939.055,0
7,0,41,0,330,8,7,3,3,1,2,30,50.2,0
0,0,37,0,0,0,0,0,3,1,2,30,0.0,0
14,0,17,1,6273,140,79,40,2,2,1,25,653.785,0
10,0,38,2,6597,64,88,39,2,1,1,25,679.24,0
1,0,29,0,1190,27,0,11,2,1,1,25,54.45,0
12,0,37,0,3205,55,180,19,2,1,1,25,974.91,0
15,0,37,0,4153,67,9,30,1,1,1,15,268.765,0
4,0,34,0,3208,73,10,29,2,1,1,25,184.91,0
13,0,40,1,2693,68,40,40,3,1,1,30,290.4,0
30,1,42,5,9680,177,72,46,3,1,1,30,686.8,0
7,0,38,1,2695,41,207,23,3,1,1,30,994.44,0
1,0,27,0,1000,32,6,12,2,1,1,25,73.49,1
14,0,27,0,1510,33,22,13,3,1,2,30,150.68,0
0,0,33,0,1305,41,243,13,2,2,1,25,1164.25,0
2,0,33,0,3780,76,0,22,3,1,1,30,157.68,0
11,0,37,0,2573,44,35,29,2,1,2,25,288.21,1
0,0,36,0,11730,148,0,47,3,1,1,30,464.68,0
1,0,35,0,1348,31,12,11,3,1,1,30,101.84,0
10,1,40,0,1695,33,18,15,3,1,2,30,150.44,1
10,0,34,2,14400,168,13,47,3,1,1,30,657.48,0
6,0,17,2,3495,57,48,24,3,1,1,30,320.56,0
12,0,17,2,13948,175,14,49,4,1,1,45,402.35,0
11,0,35,0,2438,54,20,28,3,1,1,30,176.04,0
6,0,38,0,910,12,8,4,3,1,2,30,70.16,0
