Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,1,38,0,2675,49,0,13,3,1,2,30,106.84,1
16,0,40,2,6693,110,36,37,4,1,1,45,254.85,0
6,0,39,1,3400,26,488,7,2,1,1,25,2140.825,0
0,0,34,0,733,8,0,5,4,1,2,45,18.875,1
0,0,31,0,1253,17,14,11,3,1,2,30,108.88,0
0,0,24,0,2400,46,198,22,2,1,1,25,954.93,0
0,0,23,0,95,3,10,6,2,1,2,25,49.45,0
0,0,32,0,2280,20,0,10,4,1,1,45,60.025,0
3,0,34,0,2510,45,276,20,3,1,1,30,1212.48,0
0,0,38,0,0,0,0,0,2,1,2,25,0.0,0
0,0,23,0,2515,35,0,10,3,1,1,30,98.64,0
12,0,41,4,4053,82,20,40,1,2,1,15,337.94,0
3,0,24,0,1185,27,29,15,2,1,1,25,204.52,0
25,0,42,4,15390,225,47,33,3,1,1,30,846.56,0
15,0,41,2,4833,93,22,29,3,1,1,30,290.48,0
0,0,35,0,2695,22,0,2,3,1,1,30,111.68,0
23,0,25,4,16185,235,0,78,2,1,1,25,733.815,0
14,0,43,0,3045,50,7,15,2,1,2,25,175.88,0
0,1,34,0,2795,68,7,19,3,1,2,30,146.72,1
7,0,39,0,3468,65,10,38,2,1,1,25,192.45,0
2,0,34,0,2608,48,0,31,1,1,1,15,146.36,0
0,0,25,0,2985,61,0,25,3,1,1,30,118.24,0
26,1,40,0,1260,42,39,18,4,1,2,45,143.125,1
21,1,39,0,7198,116,43,35,2,1,1,25,595.065,0
11,0,41,4,6173,104,48,41,3,1,1,30,449.24,0
13,0,33,0,7300,114,339,39,2,1,1,25,1982.735,0
0,0,14,0,1183,19,0,6,3,1,1,30,46.4,0
3,0,15,0,1912,34,30,15,2,1,1,25,227.51,0
0,0,20,0,0,0,0,0,4,1,2,45,0.0,0
4,0,32,0,6923,66,86,30,2,1,1,25,675.04,0
20,1,13,2,6183,134,61,37,3,1,1,30,458.56,0
1,0,26,2,15775,183,153,28,2,1,1,25,1398.545,0
5,0,33,0,1323,40,0,19,2,1,2,25,57.635,1
17,0,14,0,9087,173,112,47,4,1,1,45,405.225,0
15,0,43,2,6913,81,111,36,2,1,1,25,806.985,0
8,0,36,0,4638,70,7,14,1,1,1,15,298.795,0
2,0,40,0,1985,54,389,19,2,1,1,25,1969.105,0
6,1,12,2,1818,28,0,5,3,1,1,30,77.08,1
0,0,36,0,0,0,0,0,2,1,2,25,0.0,1
19,0,40,2,2513,69,349,25,5,1,1,55,1060.125,0
24,0,39,3,15440,229,58,27,3,1,1,30,858.44,0
14,0,18,2,6178,144,82,40,2,2,1,25,664.355,0
0,0,24,0,3570,67,0,22,3,1,1,30,144.44,0
8,0,44,1,3085,30,480,10,2,1,1,25,2134.635,0
12,0,16,1,6617,139,72,39,2,2,1,25,631.12,0
9,0,42,2,3670,81,385,28,3,1,1,30,1660.92,0
0,0,35,0,1583,40,0,18,2,1,1,25,72.48,0
3,0,26,0,8137,153,54,42,2,1,1,25,643.31,0
7,0,39,2,14730,180,13,60,2,1,1,25,721.21,0
13,0,23,2,2105,44,36,74,4,1,1,45,156.225,0
0,0,29,0,1668,43,3,21,2,1,1,25,84.05,0
27,1,36,0,985,48,21,18,3,1,2,30,127.68,1
13,0,39,1,3195,46,16,18,3,1,1,30,213.4,0
7,0,33,0,2323,49,191,27,2,1,1,25,976.485,0
